symbol,scenario,param,level,fill_gate,slippage_bps,spread_cross_fraction,option_commission_per_contract,option_fee_per_contract,min_edge_to_cost_ratio,volume_participation_rate,backtest_version,generated_at_utc,total_pnl,daily_sharpe,trades,total_fees,total_options_pnl,total_options_pnl_gross,total_hedge_pnl,final_equity,baseline_total_pnl,baseline_daily_sharpe,baseline_trades,delta_total_pnl,delta_daily_sharpe,delta_trades
SPY,slippage_bps=5.0,slippage_bps,low,0.45,5.0,0.75,0.65,0.05,1.75,0.02,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:17:24.943667Z,-221.77501344689992,-1.0802879611086877,3.0,8.266000103950502,-310.5752816353772,-302.3092815314267,88.80026818847728,9778.2249865531,-223.5106327848795,-1.086252063092214,3.0,1.7356193379795855,0.005964101983526149,0.0
SPY,slippage_bps=15.0,slippage_bps,high,0.45,15.0,0.75,0.65,0.05,1.75,0.02,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:17:27.038286Z,-225.24625212285926,-1.0921676949337444,3.0,8.266000103950502,-314.0465203113365,-305.7805202073861,88.80026818847728,9774.753747877141,-223.5106327848795,-1.086252063092214,3.0,-1.735619337979756,-0.005915631841530544,0.0
SPY,spread_cross_fraction=0.55,spread_cross_fraction,low,0.45,10.0,0.55,0.65,0.05,1.75,0.02,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:17:28.641123Z,-217.8898128154649,-1.067918228487992,3.0,8.266000103950502,-306.69008100394217,-298.4240808999917,88.80026818847728,9782.110187184535,-223.5106327848795,-1.086252063092214,3.0,5.620819969414612,0.018333834604221888,0.0
SPY,spread_cross_fraction=0.95,spread_cross_fraction,high,0.45,10.0,0.95,0.65,0.05,1.75,0.02,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:17:30.269830Z,-229.13145275429463,-1.1040187773122148,3.0,8.266000103950502,-317.9317209427719,-309.6657208388214,88.80026818847728,9770.868547245705,-223.5106327848795,-1.086252063092214,3.0,-5.620819969415123,-0.017766714220000868,0.0
SPY,option_commission_per_contract=0.35,option_commission_per_contract,low,0.45,10.0,0.75,0.35,0.05,1.75,0.02,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:17:32.402844Z,-219.96806131175785,-1.0753312935831363,3.0,4.723428630828857,-308.7683295002351,-304.04490086940626,88.80026818847728,9780.031938688242,-223.5106327848795,-1.086252063092214,3.0,3.5425714731216544,0.01092076950907761,0.0
SPY,option_commission_per_contract=0.95,option_commission_per_contract,high,0.45,10.0,0.75,0.95,0.05,1.75,0.02,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:17:34.027399Z,-227.05320425800113,-1.0969778338612517,3.0,11.808571577072144,-315.8534724464784,-304.04490086940626,88.80026818847728,9772.946795741998,-223.5106327848795,-1.086252063092214,3.0,-3.542571473121626,-0.010725770769037801,0.0
SPY,option_fee_per_contract=0.01,option_fee_per_contract,low,0.45,10.0,0.75,0.65,0.01,1.75,0.02,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:17:35.572639Z,-223.0382899217966,-1.0848072863255864,3.0,7.793657240867615,-311.8385581102739,-304.04490086940626,88.80026818847728,9776.961710078203,-223.5106327848795,-1.086252063092214,3.0,0.4723428630829005,0.0014447767666274647,0.0
SPY,option_fee_per_contract=0.1,option_fee_per_contract,high,0.45,10.0,0.75,0.65,0.1,1.75,0.02,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:17:37.064958Z,-224.1010613637331,-1.0880531597626681,3.0,8.856428682804108,-312.90132955221037,-304.04490086940626,88.80026818847728,9775.898938636266,-223.5106327848795,-1.086252063092214,3.0,-0.5904285788535901,-0.0018010966704542497,0.0
SPY,min_edge_to_cost_ratio=1.25,min_edge_to_cost_ratio,low,0.45,10.0,0.75,0.65,0.05,1.25,0.02,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:17:38.536280Z,-223.5106327848795,-1.086252063092214,3.0,8.266000103950502,-312.3109009733568,-304.04490086940626,88.80026818847728,9776.489367215121,-223.5106327848795,-1.086252063092214,3.0,0.0,0.0,0.0
SPY,min_edge_to_cost_ratio=2.25,min_edge_to_cost_ratio,high,0.45,10.0,0.75,0.65,0.05,2.25,0.02,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:17:40.025078Z,-223.5106327848795,-1.086252063092214,3.0,8.266000103950502,-312.3109009733568,-304.04490086940626,88.80026818847728,9776.489367215121,-223.5106327848795,-1.086252063092214,3.0,0.0,0.0,0.0
SPY,volume_participation_rate=0.01,volume_participation_rate,low,0.45,10.0,0.75,0.65,0.05,1.75,0.01,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:17:41.515089Z,-223.5106327848795,-1.086252063092214,3.0,8.266000103950502,-312.3109009733568,-304.04490086940626,88.80026818847728,9776.489367215121,-223.5106327848795,-1.086252063092214,3.0,0.0,0.0,0.0
SPY,volume_participation_rate=0.05,volume_participation_rate,high,0.45,10.0,0.75,0.65,0.05,1.75,0.05,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:17:43.009157Z,-223.5106327848795,-1.086252063092214,3.0,8.266000103950502,-312.3109009733568,-304.04490086940626,88.80026818847728,9776.489367215121,-223.5106327848795,-1.086252063092214,3.0,0.0,0.0,0.0
