symbol,scenario,param,level,fill_gate,slippage_bps,spread_cross_fraction,option_commission_per_contract,option_fee_per_contract,min_edge_to_cost_ratio,volume_participation_rate,signal_abs_gate,strategy_mode,long_score_scale,allow_long_puts,vertical_skip_if_no_wing,hedge_underlying_delta,max_trades_per_day,backtest_version,generated_at_utc,summary_signal_abs_gate,total_pnl,daily_sharpe,trades,total_fees,total_options_pnl,total_options_pnl_gross,total_hedge_pnl,final_equity,baseline_total_pnl,baseline_daily_sharpe,baseline_trades,delta_total_pnl,delta_daily_sharpe,delta_trades
QQQ,spread_cross_fraction=0.95,spread_cross_fraction,high,0.45,10.0,0.95,0.65,0.05,1.75,0.02,0.04,vertical,1.0,True,True,True,5,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:21:31.089572Z,0.04,10162.761804243863,2.9132033335573584,396.0,1091.0636399507523,10486.75618890265,11577.819828853402,-323.9943846587861,20162.761804243863,11632.679949658723,3.23875930742493,397.0,-1469.9181454148602,-0.3255559738675715,-1.0
QQQ,option_commission_per_contract=0.35,option_commission_per_contract,low,0.45,10.0,0.75,0.35,0.05,1.75,0.02,0.04,vertical,1.0,True,True,True,5,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:21:32.998850Z,0.04,12101.409744113296,3.3609017748008427,397.0,624.973059272766,11215.439913525499,11840.412972798265,885.9698305877972,22101.409744113298,11632.679949658723,3.23875930742493,397.0,468.7297944545735,0.12214246737591283,0.0
QQQ,option_commission_per_contract=0.95,option_commission_per_contract,high,0.45,10.0,0.75,0.95,0.05,1.75,0.02,0.04,vertical,1.0,True,True,True,5,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:21:35.029883Z,0.04,11245.301498805786,3.1360758899001144,397.0,1562.4307618141174,10355.035048259491,11917.465810073609,890.2664505462934,21245.30149880578,11632.679949658723,3.23875930742493,397.0,-387.378450852937,-0.10268341752481547,0.0
QQQ,option_fee_per_contract=0.01,option_fee_per_contract,low,0.45,10.0,0.75,0.65,0.01,1.75,0.02,0.04,vertical,1.0,True,True,True,5,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:21:36.889576Z,0.04,11695.177255585997,3.2550730867677973,397.0,1031.2055478000643,10809.207424998203,11840.412972798265,885.9698305877972,21695.177255585997,11632.679949658723,3.23875930742493,397.0,62.49730592727428,0.016313779342867374,0.0
QQQ,option_fee_per_contract=0.1,option_fee_per_contract,high,0.45,10.0,0.75,0.65,0.1,1.75,0.02,0.04,vertical,1.0,True,True,True,5,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:21:38.700880Z,0.04,11554.558317249626,3.218355327453777,397.0,1171.8244861364365,10668.588486661829,11840.412972798265,885.9698305877972,21554.558317249626,11632.679949658723,3.23875930742493,397.0,-78.12163240909649,-0.020403979971153063,0.0
QQQ,min_edge_to_cost_ratio=1.25,min_edge_to_cost_ratio,low,0.45,10.0,0.75,0.65,0.05,1.25,0.02,0.04,vertical,1.0,True,True,True,5,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:21:40.579952Z,0.04,12305.43746105628,2.993173571254721,405.0,1115.392387366295,11642.002213424417,12757.39460079071,663.4352476318643,22305.437461056274,11632.679949658723,3.23875930742493,397.0,672.7575113975581,-0.24558573617020896,8.0
QQQ,min_edge_to_cost_ratio=2.25,min_edge_to_cost_ratio,high,0.45,10.0,0.75,0.65,0.05,2.25,0.02,0.04,vertical,1.0,True,True,True,5,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:21:42.464788Z,0.04,11546.94810069178,2.845350663519302,385.0,1060.7424987077713,10708.463053175885,11769.205551883657,838.4850475158927,21546.948100691778,11632.679949658723,3.23875930742493,397.0,-85.73184896694329,-0.3934086439056279,-12.0
QQQ,volume_participation_rate=0.01,volume_participation_rate,low,0.45,10.0,0.75,0.65,0.05,1.75,0.01,0.04,vertical,1.0,True,True,True,5,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:21:44.284457Z,0.04,11850.91792703604,2.901504661574475,397.0,1093.7028537273409,10746.710119070925,11840.412972798265,1104.2078079651155,21850.91792703604,11632.679949658723,3.23875930742493,397.0,218.2379773773173,-0.33725464585045506,0.0
QQQ,volume_participation_rate=0.05,volume_participation_rate,high,0.45,10.0,0.75,0.65,0.05,1.75,0.05,0.04,vertical,1.0,True,True,True,5,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:21:46.118979Z,0.04,11850.91792703604,2.901504661574475,397.0,1093.7028537273409,10746.710119070925,11840.412972798265,1104.2078079651155,21850.91792703604,11632.679949658723,3.23875930742493,397.0,218.2379773773173,-0.33725464585045506,0.0
SPY,baseline,baseline,base,0.45,10.0,0.75,0.65,0.05,1.75,0.02,0.04,vertical,1.0,True,True,True,5,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:21:47.934644Z,0.04,1754.6809455829973,0.8312794739181373,398.0,1095.6424859046936,2542.0443376758412,3637.686823580536,-787.3633920928452,11754.680945582999,1754.6809455829973,0.8312794739181373,398.0,0.0,0.0,0.0
